FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE
동승춘,강원도 삼척시 대학로 12,42,42230,129.163506,37.44220264,강원,짜장면,4500,2021-12-31
함흥막국수,강원도 속초시 중앙로54번길 3,42,42210,128.5824148,38.20042056,강원,함흥회냉면,8000,2021-12-31
함흥냉면옥,강원도 속초시 청초호반로 299,42,42210,128.5898688,38.20199299,강원,함흥냉면,8000,2021-12-31
진미통닭,강원도 원주시 우산로 66,42,42130,127.9369795,37.36947384,강원,후라이드치킨,16000,2021-12-31
시골집,강원도 원주시 중평길 10-1,42,42130,127.9502462,37.34917691,강원,양구이,32000,2021-12-31
원주복추어탕,강원도 원주시 치악로 1748,42,42130,127.9564123,37.33856086,강원,한우 추어탕(통),12000,2021-12-31
미락정갈비,강원도 정선군 정선읍 녹송1길 18,42,42770,128.6719784,37.38198063,강원,미락정 정식,10000,2021-12-31
철원막국수,강원도 철원군 갈말읍 명성로158번길 13,42,42780,127.3087328,38.1461613,강원,물막국수,7000,2021-12-31
명가춘천막국수,강원도 춘천시 당간지주길 76,42,42110,127.7238715,37.89224079,강원,순메밀막국수,7000,2021-12-31
도지골등나무집,강원도 춘천시 상천3길 2,42,42110,127.7927658,37.93285994,강원,잡어매운탕,40000,2021-12-31
보문각,강원도 춘천시 약사고개길42번길 3,42,42110,127.7263008,37.87468438,강원,짜장면,5000,2021-12-31
조선옥갈비,강원도 태백시 시장북2길 5-1,42,42190,128.9919355,37.17351571,강원,생 갈비 1인분(2대),30000,2021-12-31
남한산성은행나무집,경기도 광주광역시시 남한산성면 남한산성로 772,41,41610,127.1847846,37.47816571,경기,한방백숙,50000,2021-12-31
미락복집,경기도 성남시 분당구 구미로9번길 25 108호,41,41130,127.1099401,37.34038016,경기,참복매운탕,25000,2021-12-31
옻닭집,경기도 수원시 권선구 정조로 423,41,41110,127.0132769,37.24719571,경기,옻닭,13000,2021-12-31
민물추어탕,경기도 수원시 영통구 중부대로 286,41,41110,127.0468224,37.27350087,경기,추어탕,10000,2021-12-31
대원옥,경기도 수원시 팔달구 정조로800번길 6-3,41,41110,127.0172952,37.27933785,경기,전통평양냉면,10000,2021-12-31
장안면옥,경기도 안성시 중앙로371번길 54,41,41550,127.2694862,37.00992999,경기,평양냉면,8000,2021-12-31
안일옥본점,경기도 안성시 중앙로411번길 20,41,41550,127.2728959,37.00767512,경기,설렁탕,8000,2021-12-31
봉암식당,경기도 안양시 만안구 예술공원로245번길 15,41,41170,126.9324833,37.41920143,경기,토종닭볶음탕,49000,2021-12-31
덕화원,경기도 양주시 덕정길 4,41,41630,127.0625666,37.84407578,경기,간짜장,6500,2021-12-31
지동관,경기도 의정부시 호국로1298번길 78,41,41150,127.0482855,37.73996173,경기,삼선짜장면,7000,2021-12-31
이천용인닭발본점,경기도 이천시 중리천로21번길 11,41,41500,127.440427,37.28101463,경기,닭발 소,7000,2021-12-31
고복례냉면,경기도 평택시 조개터로1번길 71,41,41220,127.0997261,36.98968557,경기,냉면,9900,2021-12-31
이화회집,경기도 화성시 매화길 8,41,41450,126.7948905,37.02760096,경기,낙지전골(1인),20000,2021-12-31
대동할매국수,경상남도 김해시 대동면 동남로45번길 8,48,48250,128.9937554,35.23694292,경남,대동할매국수 보통,4000,2021-12-31
화정소바,경상남도 의령군 의령읍 의병로18길 9-3,48,48720,128.2605744,35.3189107,경남,온소바,6000,2021-12-31
중앙집,경상남도 진주시 남강로673번길 6,48,48170,128.0856223,35.19171055,경남,매운탕,8000,2021-12-31
